Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
Thu Jul 21 22:44:51 +0000 2022,hodgetwins,Why’s it seem like the only ones getting Covid are the ones that have been vaxx’d and boosted?,2394,22233,1550250482265899008,
Thu Jul 21 16:50:09 +0000 2022,hodgetwins,"So Biden now has Covid, even though he said you can’t get Covid if you’re vaccinated.",1024,9628,1550161217007788032,
Thu Jul 21 03:50:17 +0000 2022,hodgetwins,“immune function among vaccinated individuals 8mo. after the administration of two doses of COVID vaccine was lower… https://t.co/jhd1Kvyrjp,11961,0,1549964955763589120,
Thu Jul 21 22:44:51 +0000 2022,hodgetwins,Why’s it seem like the only ones getting Covid are the ones that have been vaxx’d and boosted?,2394,22233,1550250482265899008,
Thu Jul 21 16:50:09 +0000 2022,hodgetwins,"So Biden now has Covid, even though he said you can’t get Covid if you’re vaccinated.",1024,9628,1550161217007788032,
Thu Jul 21 03:50:17 +0000 2022,hodgetwins,“immune function among vaccinated individuals 8mo. after the administration of two doses of COVID vaccine was lower… https://t.co/jhd1Kvyrjp,11961,0,1549964955763589120,
Thu Jul 21 22:44:51 +0000 2022,hodgetwins,Why’s it seem like the only ones getting Covid are the ones that have been vaxx’d and boosted?,2394,22233,1550250482265899008,
Thu Jul 21 16:50:09 +0000 2022,hodgetwins,"So Biden now has Covid, even though he said you can’t get Covid if you’re vaccinated.",1024,9628,1550161217007788032,
Thu Jul 21 03:50:17 +0000 2022,hodgetwins,“immune function among vaccinated individuals 8mo. after the administration of two doses of COVID vaccine was lower… https://t.co/jhd1Kvyrjp,11961,0,1549964955763589120,
Thu Jul 21 03:50:17 +0000 2022,hodgetwins,“immune function among vaccinated individuals 8mo. after the administration of two doses of COVID vaccine was lower… https://t.co/jhd1Kvyrjp,11961,0,1549964955763589120,
Sun Jul 03 11:59:14 +0000 2022,hodgetwins,"My personal @Twitter account was permanently banned for posting about Covid and CDC info, but this account is free… https://t.co/aD6IkYpDi4",3545,0,1543565022445584384,
Sat Jul 02 18:08:42 +0000 2022,hodgetwins,"Dear @January6thCmte:

Democrats illegally used COVID to ignore election laws.

They mailed ballots to everyone, ev… https://t.co/COZQxcnXsp",1550,0,1543295616167645184,
Sat Jul 02 18:08:42 +0000 2022,hodgetwins,"Dear @January6thCmte:

Democrats illegally used COVID to ignore election laws.

They mailed ballots to everyone, ev… https://t.co/COZQxcnXsp",1550,0,1543295616167645184,
Wed Jun 22 22:57:47 +0000 2022,hodgetwins,Parents who are contemplating giving the Covid vax to their kids five and younger should see this video. Covid pose… https://t.co/rwy9FnGVUM,611,1864,1539744486959587328,
Wed Jun 22 22:57:47 +0000 2022,hodgetwins,Parents who are contemplating giving the Covid vax to their kids five and younger should see this video. Covid pose… https://t.co/rwy9FnGVUM,611,1864,1539744486959587328,
Sun Jun 19 01:21:59 +0000 2022,strangertemple,No joke y’all my jaw hurts from making those crazy Amber Heard expressions I’m totally serious.,60,0,1538331224384618496,
Wed Jun 15 01:58:23 +0000 2022,hodgetwins,"The ""conspiracy theorists"" warned that COVID QR codes would be used as a means for surveillance and censorship.

To… https://t.co/d1RvTrTRUO",2523,0,1536890832875311104,
Thu Jun 09 13:52:28 +0000 2022,yasscap,tears in my eyes https://t.co/Poqn4CKGsp,31171,0,1534896210678538240,
Tue Jun 07 22:16:46 +0000 2022,hodgetwins,"Biden’s crew used the Covid vax to fire nurses, cops, firemen, doctors &amp; anyone just trying to earn a honest living… https://t.co/jUSnK8Acb8",2978,16335,1534298347837607936,
Sat Jun 04 20:27:59 +0000 2022,hodgetwins,"Ronald Reagan’s quote Most Terrifying Words– “I’m from the government, and I’m here to help.” Gain of function, Cov… https://t.co/HFh3rQJYI0",202,1063,1533183808618614784,
Sat Jun 04 20:27:59 +0000 2022,hodgetwins,"Ronald Reagan’s quote Most Terrifying Words– “I’m from the government, and I’m here to help.” Gain of function, Cov… https://t.co/HFh3rQJYI0",202,1063,1533183808618614784,
Mon May 30 21:56:29 +0000 2022,hodgetwins,Even though he has had Covid. This is not following the science!,38,934,1531394140440649728,
Mon May 30 21:56:29 +0000 2022,hodgetwins,Even though he has had Covid. This is not following the science!,38,934,1531394140440649728,
Sat May 21 13:23:29 +0000 2022,hodgetwins,"World Economic Forum shill, Yuval Noah Hariri:

""Covid is critical because this is what convinces people to accept… https://t.co/UuFsB9JPBy",11245,0,1528003549740900352,
